product_id,food,price,brand,at_location
1000,True,68.91,premium,[1]
1001,False,61.32,luxury,"[1, 2]"
1002,True,85.16,basic,"[1, 2, 3]"
1003,False,125.91,premium,"[1, 2, 3, 4]"
1004,True,91.41,premium,[1]
1005,False,104.59,basic,"[1, 2]"
1006,True,86.59,basic,"[1, 2, 3]"
1007,False,100.92,premium,"[1, 2, 3, 4]"
1008,True,58.21,luxury,[1]
1009,False,108.82,luxury,"[1, 2]"
1010,True,81.48,basic,"[1, 2, 3]"
1011,False,76.81,luxury,"[1, 2, 3, 4]"
1012,True,70.61,luxury,[1]
1013,False,97.83,luxury,"[1, 2]"
1014,True,132.26,basic,"[1, 2, 3]"
1015,False,106.64,basic,"[1, 2, 3, 4]"
1016,True,153.33,basic,[1]
1017,False,67.1,premium,"[1, 2]"
1018,True,93.03,luxury,"[1, 2, 3]"
1019,False,128.58,luxury,"[1, 2, 3, 4]"
1020,True,106.75,basic,[1]
1021,False,86.96,basic,"[1, 2]"
1022,True,71.79,luxury,"[1, 2, 3]"
1023,False,142.52,premium,"[1, 2, 3, 4]"
1024,True,124.89,luxury,[1]
1025,False,83.52,premium,"[1, 2]"
1026,True,98.59,luxury,"[1, 2, 3]"
1027,False,124.69,luxury,"[1, 2, 3, 4]"
1028,True,133.3,luxury,[1]
1029,False,125.49,premium,"[1, 2]"
1030,True,121.85,basic,"[1, 2, 3]"
1031,False,92.4,basic,"[1, 2, 3, 4]"
1032,True,106.42,luxury,[1]
1033,False,91.81,basic,"[1, 2]"
1034,True,128.35,premium,"[1, 2, 3]"
1035,False,82.47,premium,"[1, 2, 3, 4]"
1036,True,91.6,premium,[1]
1037,False,82.57,basic,"[1, 2]"
1038,True,94.26,premium,"[1, 2, 3]"
1039,False,100.41,premium,"[1, 2, 3, 4]"
1040,True,83.69,basic,[1]
1041,False,91.16,basic,"[1, 2]"
1042,True,78.18,luxury,"[1, 2, 3]"
1043,False,109.88,luxury,"[1, 2, 3, 4]"
1044,True,87.34,basic,[1]
1045,False,87.24,basic,"[1, 2]"
1046,True,113.92,basic,"[1, 2, 3]"
1047,False,78.51,basic,"[1, 2, 3, 4]"
1048,True,139.74,premium,[1]
1049,False,78.23,basic,"[1, 2]"
1050,True,95.96,premium,"[1, 2, 3]"
1051,False,119.08,premium,"[1, 2, 3, 4]"
1052,True,105.6,premium,[1]
1053,False,100.59,luxury,"[1, 2]"
1054,True,97.55,premium,"[1, 2, 3]"
1055,False,94.25,basic,"[1, 2, 3, 4]"
1056,True,145.73,basic,[1]
1057,False,110.83,luxury,"[1, 2]"
1058,True,135.43,luxury,"[1, 2, 3]"
1059,False,95.64,premium,"[1, 2, 3, 4]"
1060,True,58.43,premium,[1]
1061,False,75.7,basic,"[1, 2]"
1062,True,143.97,luxury,"[1, 2, 3]"
1063,False,111.41,basic,"[1, 2, 3, 4]"
1064,True,126.85,basic,[1]
1065,False,138.76,basic,"[1, 2]"
1066,True,123.75,premium,"[1, 2, 3]"
1067,False,108.19,basic,"[1, 2, 3, 4]"
1068,True,133.2,luxury,[1]
1069,False,112.58,basic,"[1, 2]"
1070,True,78.67,luxury,"[1, 2, 3]"
1071,False,96.59,basic,"[1, 2, 3, 4]"
1072,True,120.11,basic,[1]
1073,False,96.12,premium,"[1, 2]"
1074,True,112.72,luxury,"[1, 2, 3]"
1075,False,85.79,basic,"[1, 2, 3, 4]"
1076,True,97.62,premium,[1]
1077,False,84.55,luxury,"[1, 2]"
1078,True,122.95,basic,"[1, 2, 3]"
1079,False,136.16,luxury,"[1, 2, 3, 4]"
1080,True,127.81,basic,[1]
1081,False,116.49,premium,"[1, 2]"
1082,True,137.7,premium,"[1, 2, 3]"
1083,False,92.66,basic,"[1, 2, 3, 4]"
1084,True,89.68,premium,[1]
1085,False,113.69,basic,"[1, 2]"
1086,True,113.46,luxury,"[1, 2, 3]"
1087,False,67.28,premium,"[1, 2, 3, 4]"
1088,True,67.49,premium,[1]
1089,False,102.14,luxury,"[1, 2]"
1090,True,141.46,luxury,"[1, 2, 3]"
1091,False,89.76,luxury,"[1, 2, 3, 4]"
1092,True,125.14,basic,[1]
1093,False,74.58,luxury,"[1, 2]"
1094,True,81.81,luxury,"[1, 2, 3]"
1095,False,40.31,luxury,"[1, 2, 3, 4]"
1096,True,163.34,basic,[1]
1097,False,108.77,luxury,"[1, 2]"
1098,True,101.67,basic,"[1, 2, 3]"
1099,False,75.88,premium,"[1, 2, 3, 4]"
1100,True,93.21,premium,[1]
1101,False,79.54,basic,"[1, 2]"
1102,True,83.95,basic,"[1, 2, 3]"
1103,False,77.17,premium,"[1, 2, 3, 4]"
1104,True,96.33,luxury,[1]
1105,False,94.06,basic,"[1, 2]"
1106,True,151.26,luxury,"[1, 2, 3]"
1107,False,149.96,luxury,"[1, 2, 3, 4]"
1108,True,101.86,premium,[1]
1109,False,97.38,basic,"[1, 2]"
1110,True,86.83,luxury,"[1, 2, 3]"
1111,False,95.8,luxury,"[1, 2, 3, 4]"
1112,True,121.41,basic,[1]
1113,False,120.98,basic,"[1, 2]"
1114,True,96.94,premium,"[1, 2, 3]"
1115,False,89.02,basic,"[1, 2, 3, 4]"
1116,True,83.0,luxury,[1]
1117,False,69.34,luxury,"[1, 2]"
1118,True,120.02,premium,"[1, 2, 3]"
1119,False,49.15,luxury,"[1, 2, 3, 4]"
1120,True,80.14,basic,[1]
1121,False,67.84,premium,"[1, 2]"
1122,True,71.43,luxury,"[1, 2, 3]"
1123,False,115.73,premium,"[1, 2, 3, 4]"
1124,True,88.09,luxury,[1]
1125,False,104.07,premium,"[1, 2]"
1126,True,85.59,basic,"[1, 2, 3]"
1127,False,120.14,basic,"[1, 2, 3, 4]"
1128,True,101.17,premium,[1]
1129,False,97.26,premium,"[1, 2]"
1130,True,135.68,luxury,"[1, 2, 3]"
1131,False,115.05,luxury,"[1, 2, 3, 4]"
1132,True,89.64,premium,[1]
1133,False,104.61,luxury,"[1, 2]"
1134,True,119.29,luxury,"[1, 2, 3]"
1135,False,151.03,basic,"[1, 2, 3, 4]"
1136,True,57.59,luxury,[1]
1137,False,73.03,basic,"[1, 2]"
1138,True,94.69,luxury,"[1, 2, 3]"
1139,False,117.0,basic,"[1, 2, 3, 4]"
1140,True,100.58,basic,[1]
1141,False,54.29,luxury,"[1, 2]"
1142,True,90.2,luxury,"[1, 2, 3]"
1143,False,113.85,basic,"[1, 2, 3, 4]"
1144,True,133.88,premium,[1]
1145,False,90.36,premium,"[1, 2]"
1146,True,80.7,luxury,"[1, 2, 3]"
1147,False,56.09,basic,"[1, 2, 3, 4]"
1148,True,106.27,luxury,[1]
1149,False,36.08,luxury,"[1, 2]"
1150,True,97.58,luxury,"[1, 2, 3]"
1151,False,122.92,premium,"[1, 2, 3, 4]"
1152,True,56.2,basic,[1]
1153,False,116.56,luxury,"[1, 2]"
1154,True,102.23,luxury,"[1, 2, 3]"
1155,False,114.64,luxury,"[1, 2, 3, 4]"
1156,True,103.43,basic,[1]
1157,False,98.09,luxury,"[1, 2]"
1158,True,89.98,basic,"[1, 2, 3]"
1159,False,107.1,basic,"[1, 2, 3, 4]"
1160,True,72.65,luxury,[1]
1161,False,85.62,premium,"[1, 2]"
1162,True,108.48,premium,"[1, 2, 3]"
1163,False,106.08,luxury,"[1, 2, 3, 4]"
1164,True,91.76,basic,[1]
1165,False,67.41,basic,"[1, 2]"
1166,True,96.98,premium,"[1, 2, 3]"
1167,False,132.65,basic,"[1, 2, 3, 4]"
1168,True,62.64,premium,[1]
1169,False,122.81,luxury,"[1, 2]"
1170,True,72.05,luxury,"[1, 2, 3]"
1171,False,76.84,premium,"[1, 2, 3, 4]"
1172,True,44.45,basic,[1]
1173,False,89.65,luxury,"[1, 2]"
1174,True,89.05,premium,"[1, 2, 3]"
1175,False,69.51,premium,"[1, 2, 3, 4]"
1176,True,99.41,luxury,[1]
1177,False,77.99,luxury,"[1, 2]"
1178,True,109.48,basic,"[1, 2, 3]"
1179,False,38.17,luxury,"[1, 2, 3, 4]"
1180,True,80.43,premium,[1]
1181,False,55.23,basic,"[1, 2]"
