cust_id,is_male,location
100000,True,1
100001,False,2
100002,True,3
100003,False,4
100004,True,1
100005,False,2
100006,True,3
100007,False,4
100008,True,1
100009,False,2
100010,True,3
100011,False,4
100012,True,1
100013,False,2
100014,True,3
100015,False,4
100016,True,1
100017,False,2
100018,True,3
100019,False,4
100020,True,1
100021,False,2
100022,True,3
100023,False,4
100024,True,1
100025,False,2
100026,True,3
100027,False,4
100028,True,1
100029,False,2
100030,True,3
100031,False,4
100032,True,1
100033,False,2
100034,True,3
100035,False,4
100036,True,1
100037,False,2
100038,True,3
100039,False,4
100040,True,1
100041,False,2
100042,True,3
100043,False,4
100044,True,1
100045,False,2
100046,True,3
100047,False,4
100048,True,1
100049,False,2
100050,True,3
100051,False,4
100052,True,1
100053,False,2
100054,True,3
100055,False,4
100056,True,1
100057,False,2
100058,True,3
100059,False,4
100060,True,1
100061,False,2
100062,True,3
100063,False,4
100064,True,1
100065,False,2
100066,True,3
100067,False,4
100068,True,1
100069,False,2
100070,True,3
100071,False,4
100072,True,1
100073,False,2
100074,True,3
100075,False,4
100076,True,1
100077,False,2
100078,True,3
100079,False,4
100080,True,1
100081,False,2
100082,True,3
100083,False,4
100084,True,1
100085,False,2
100086,True,3
100087,False,4
100088,True,1
100089,False,2
100090,True,3
100091,False,4
100092,True,1
100093,False,2
100094,True,3
100095,False,4
100096,True,1
100097,False,2
100098,True,3
100099,False,4
100100,True,1
100101,False,2
100102,True,3
100103,False,4
100104,True,1
100105,False,2
100106,True,3
100107,False,4
100108,True,1
100109,False,2
100110,True,3
100111,False,4
100112,True,1
100113,False,2
100114,True,3
100115,False,4
100116,True,1
100117,False,2
100118,True,3
100119,False,4
100120,True,1
100121,False,2
100122,True,3
100123,False,4
100124,True,1
100125,False,2
100126,True,3
100127,False,4
100128,True,1
100129,False,2
100130,True,3
100131,False,4
100132,True,1
100133,False,2
100134,True,3
100135,False,4
100136,True,1
100137,False,2
100138,True,3
100139,False,4
100140,True,1
100141,False,2
100142,True,3
100143,False,4
100144,True,1
100145,False,2
100146,True,3
100147,False,4
100148,True,1
100149,False,2
100150,True,3
100151,False,4
100152,True,1
100153,False,2
100154,True,3
100155,False,4
100156,True,1
100157,False,2
100158,True,3
100159,False,4
100160,True,1
100161,False,2
100162,True,3
100163,False,4
100164,True,1
100165,False,2
100166,True,3
100167,False,4
100168,True,1
100169,False,2
100170,True,3
100171,False,4
100172,True,1
100173,False,2
100174,True,3
100175,False,4
100176,True,1
100177,False,2
100178,True,3
100179,False,4
100180,True,1
100181,False,2
100182,True,3
100183,False,4
100184,True,1
100185,False,2
100186,True,3
100187,False,4
100188,True,1
100189,False,2
100190,True,3
100191,False,4
100192,True,1
100193,False,2
100194,True,3
100195,False,4
100196,True,1
100197,False,2
100198,True,3
100199,False,4
100200,True,1
100201,False,2
100202,True,3
100203,False,4
100204,True,1
100205,False,2
100206,True,3
100207,False,4
100208,True,1
100209,False,2
100210,True,3
100211,False,4
100212,True,1
100213,False,2
100214,True,3
100215,False,4
100216,True,1
100217,False,2
100218,True,3
100219,False,4
100220,True,1
100221,False,2
100222,True,3
100223,False,4
100224,True,1
100225,False,2
100226,True,3
100227,False,4
100228,True,1
100229,False,2
100230,True,3
100231,False,4
100232,True,1
100233,False,2
100234,True,3
100235,False,4
100236,True,1
100237,False,2
100238,True,3
100239,False,4
100240,True,1
100241,False,2
100242,True,3
100243,False,4
100244,True,1
100245,False,2
100246,True,3
100247,False,4
100248,True,1
100249,False,2
100250,True,3
100251,False,4
100252,True,1
100253,False,2
100254,True,3
100255,False,4
100256,True,1
100257,False,2
100258,True,3
100259,False,4
100260,True,1
100261,False,2
100262,True,3
